MID,MATCH_DATE,MATCH_TIME,VISITOR_TID,VISITOR_NAME,VISITOR_PTS,HOME_TID ,HOME_NAME,HOME_PTS,ATTEND
1,2018-10-15,오후 8:00:00,23,Philadelphia 76ers,87,2,Boston Celtics,105,18624
2,2018-10-15,오후 10:30:00,21,Oklahoma City Thunder,100,10,Golden State Warriors,108,19596
3,2018-10-16,오후 7:00:00,17,Milwaukee Bucks,113,4,Charlotte Hornets,112,17889
4,2018-10-16,오후 7:00:00,3,Brooklyn Nets,100,9,Detroit Pistons,103,20332
5,2018-10-16,오후 8:00:00,19,New Orleans Pelicans,131,11,Houston Rockets,112,18055
6,2018-10-16,오후 7:00:00,15,Memphis Grizzlies,83,12,Indiana Pacers,111,17923
7,2018-10-16,오후 10:30:00,8,Denver Nuggets,107,13,Los Angeles Clippers,98,19068
8,2018-10-16,오후 7:30:00,1,Atlanta Hawks,107,20,New York Knicks,126,18249
9,2018-10-16,오후 7:00:00,16,Miami Heat,101,22,Orlando Magic,104,19191
10,2018-10-16,오후 10:30:00,7,Dallas Mavericks,100,24,Phoenix Suns,121,18055
11,2018-10-16,오후 10:00:00,29,Utah Jazz,123,26,Sacramento Kings,117,17583
12,2018-10-16,오후 8:30:00,18,Minnesota Timberwolves,108,27,San Antonio Spurs,112,18354
13,2018-10-16,오후 7:30:00,6,Cleveland Cavaliers,104,28,Toronto Raptors,116,19915
14,2018-10-17,오후 8:00:00,5,Chicago Bulls,108,23,Philadelphia 76ers,127,20302
15,2018-10-17,오후 10:30:00,14,Los Angeles Lakers,119,25,Portland Trail Blazers,128,19996
16,2018-10-17,오후 8:00:00,16,Miami Heat,113,30,Washington Wizards,112,20409
17,2018-10-18,오후 7:30:00,20,New York Knicks,105,3,Brooklyn Nets,107,17732
18,2018-10-18,오후 10:30:00,21,Oklahoma City Thunder,92,13,Los Angeles Clippers,108,14816
19,2018-10-18,오후 8:00:00,1,Atlanta Hawks,117,15,Memphis Grizzlies,131,17019
20,2018-10-18,오후 8:30:00,12,Indiana Pacers,101,17,Milwaukee Bucks,118,17341
21,2018-10-18,오후 8:00:00,6,Cleveland Cavaliers,123,18,Minnesota Timberwolves,131,18978
22,2018-10-18,오후 8:00:00,26,Sacramento Kings,129,19,New Orleans Pelicans,149,18337
23,2018-10-18,오후 7:00:00,4,Charlotte Hornets,120,22,Orlando Magic,88,17668
24,2018-10-18,오후 8:00:00,2,Boston Celtics,101,28,Toronto Raptors,113,19800
25,2018-10-18,오후 10:30:00,10,Golden State Warriors,124,29,Utah Jazz,123,18306
26,2018-10-19,오후 8:00:00,9,Detroit Pistons,118,5,Chicago Bulls,116,21289
27,2018-10-19,오후 8:30:00,18,Minnesota Timberwolves,136,7,Dallas Mavericks,140,20205
28,2018-10-19,오후 9:00:00,24,Phoenix Suns,91,8,Denver Nuggets,119,19592
29,2018-10-19,오후 7:00:00,3,Brooklyn Nets,112,12,Indiana Pacers,132,17007
30,2018-10-19,오후 10:30:00,11,Houston Rockets,124,14,Los Angeles Lakers,115,18997
31,2018-10-19,오후 8:00:00,4,Charlotte Hornets,113,16,Miami Heat,112,19600
32,2018-10-19,오후 7:30:00,2,Boston Celtics,103,20,New York Knicks,101,19427
33,2018-10-19,오후 7:30:00,22,Orlando Magic,115,23,Philadelphia 76ers,116,20300
34,2018-10-19,오후 10:00:00,27,San Antonio Spurs,108,25,Portland Trail Blazers,121,19461
35,2018-10-19,오후 7:00:00,28,Toronto Raptors,117,30,Washington Wizards,113,16185
36,2018-10-20,오후 6:00:00,1,Atlanta Hawks,133,6,Cleveland Cavaliers,111,19432
37,2018-10-20,오후 8:00:00,10,Golden State Warriors,98,8,Denver Nuggets,100,19520
38,2018-10-20,오후 9:00:00,11,Houston Rockets,112,13,Los Angeles Clippers,115,16149
39,2018-10-20,오후 7:00:00,26,Sacramento Kings,131,21,Oklahoma City Thunder,120,18203
40,2018-10-21,오후 7:30:00,22,Orlando Magic,93,2,Boston Celtics,90,18624
41,2018-10-21,오후 8:30:00,5,Chicago Bulls,109,7,Dallas Mavericks,115,19291
42,2018-10-21,오후 10:30:00,24,Phoenix Suns,103,10,Golden State Warriors,123,19596
43,2018-10-21,오후 10:30:00,27,San Antonio Spurs,143,14,Los Angeles Lakers,142,18997
44,2018-10-21,오후 8:00:00,20,New York Knicks,113,17,Milwaukee Bucks,124,16228
45,2018-10-21,오후 8:00:00,12,Indiana Pacers,91,18,Minnesota Timberwolves,101,10371
46,2018-10-21,오후 10:00:00,30,Washington Wizards,125,25,Portland Trail Blazers,124,19187
47,2018-10-21,오후 7:30:00,4,Charlotte Hornets,106,28,Toronto Raptors,127,19800
48,2018-10-21,오후 9:00:00,15,Memphis Grizzlies,92,29,Utah Jazz,84,18306
49,2018-10-22,오후 9:00:00,26,Sacramento Kings,112,8,Denver Nuggets,126,13214
50,2018-10-22,오후 7:00:00,23,Philadelphia 76ers,132,9,Detroit Pistons,133,14418
51,2018-10-22,오후 8:00:00,13,Los Angeles Clippers,109,19,New Orleans Pelicans,116,14625
52,2018-10-23,오후 7:00:00,7,Dallas Mavericks,104,1,Atlanta Hawks,111,16705
53,2018-10-23,오후 8:00:00,4,Charlotte Hornets,110,5,Chicago Bulls,112,19170
54,2018-10-23,오후 7:00:00,3,Brooklyn Nets,102,6,Cleveland Cavaliers,86,19432
55,2018-10-23,오후 10:30:00,30,Washington Wizards,122,10,Golden State Warriors,144,19596
