PID,TID,FULLNAME,POS,AGE,GP,MPG,MIN,USG,Tor,FTA,FT,PA2,P2,PA3,P3,EFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
1,21,Alex Abrines,G,25,31,19,39.5,12.2,7.9,13,0.923,30,0.5,127,0.323,0.487,0.507,5.3,1.5,4.2,0.6,4.3,0.55,0.19,0.45,3.5,103.2,103.4
2,24,Quincy Acy,F,28,10,12.3,25.6,9.2,15.2,10,0.7,3,0.667,15,0.133,0.278,0.379,1.7,2.5,11.4,0.8,8.2,0.1,0.4,0.4,4.9,86.9,98.2
3,1,Jaylen Adams,G,22,13,6.5,13.5,11.5,20.9,2,1,6,0.167,12,0.5,0.556,0.583,1.7,0.7,5.7,1,20.3,0.23,0.15,0.38,6.5,114.5,107.1
4,21,Steven Adams,C,25,57,34,70.9,16.4,12.1,225,0.547,588,0.607,1,0,0.606,0.608,14.7,9.5,14.4,1.7,6.9,1.63,0.77,1.67,7.3,122.8,102.1
5,16,Bam Adebayo,C-F,21,59,21.8,45.5,15.2,17.9,162,0.728,296,0.578,9,0.111,0.566,0.615,7.8,6.6,16.1,1.9,13.1,0.8,0.73,1.39,8.5,118.8,97.1
6,6,Deng Adel,F,22,12,13.2,27.4,9.9,13.9,2,1,10,0.4,20,0.25,0.383,0.405,2.1,1.1,4.6,0.3,3.4,0.08,0.33,0.42,2.7,80.8,115
7,8,DeVaughn Akoon-Purcell,G-F,25,7,3.1,6.4,25.4,15.5,2,0.5,6,0.5,4,0,0.3,0.322,1,0.6,10.1,0.9,37.4,0.29,0,0.29,10.5,,
8,27,LaMarcus Aldridge,F,33,61,32.5,67.8,27.2,9.3,318,0.846,951,0.517,25,0.2,0.512,0.568,20.8,8.9,15,2.5,12.4,0.52,1.26,1.87,9.5,116.3,107.6
9,5,Rawle Alkins,G,21,3,2,4.2,28.8,0,0,0,3,0,1,1,0.375,0.375,1,1,26.9,0.7,50.7,0.33,0,0,17.8,,
10,29,Grayson Allen,G,23,28,9.9,20.5,21.9,11.4,36,0.75,40,0.375,69,0.275,0.399,0.457,4.1,0.4,2.4,0.6,8.8,0.11,0.11,0.57,4,89.7,101.9
11,3,Jarrett Allen,C,20,60,27,56.2,16.2,13.3,205,0.727,410,0.615,39,0.154,0.581,0.622,11.2,8.7,17.2,1.5,8.4,0.57,1.58,1.38,7.8,122.3,102.2
12,20,Kadeem Allen,G,26,10,22.5,46.9,18.5,12.2,26,0.731,59,0.492,16,0.5,0.547,0.584,10.1,2.9,6.7,4.5,31.4,0.8,0.1,1.2,9,121.5,105.3
13,25,Al-Farouq Aminu,F,28,60,29,60.5,13,8.8,131,0.855,219,0.516,213,0.362,0.529,0.581,9.5,7.8,14.3,1.3,6,0.87,0.38,0.78,6.3,121.8,104.4
14,1,Justin Anderson,G-F,25,32,7.8,16.2,17.8,11.9,21,0.762,47,0.532,40,0.2,0.425,0.468,2.8,1.4,9.6,0.4,6.8,0.34,0.22,0.41,6,94.7,105.8
15,15,Kyle Anderson,F,25,43,29.8,62.1,12.8,16,64,0.578,242,0.583,34,0.265,0.56,0.569,8,5.9,11.1,3,15.3,1.26,0.86,1.35,7,110.3,101.2
16,24,Ryan Anderson,F,30,15,18.5,38.6,12.1,15.4,14,0.786,26,0.462,34,0.206,0.375,0.423,3.7,3,9.1,1.1,8.1,0.2,0.07,0.8,5,91.5,112.7
17,16,Ryan Anderson,F,30,3,4,8.4,10.6,33.3,0,0,0,0,2,1,1.5,1.5,2,0,0,0.3,12.7,0,0,0.33,0,157.2,109.2
18,12,Ike Anigbogu,C,20,3,2.1,4.3,28.1,25,0,0,3,0,0,0,0,0,0,1,26.9,0.3,18.5,0,0.33,0.33,0,,
19,17,Giannis Antetokounmpo,F,24,55,33.2,69.2,31.9,15.2,503,0.72,814,0.636,136,0.243,0.597,0.639,27.2,12.7,19.7,6,30.3,1.4,1.45,3.82,15.4,120.6,92.4
20,11,Carmelo Anthony,F,34,10,29.4,61.3,20.4,5.8,22,0.682,57,0.491,64,0.328,0.492,0.513,13.4,5.4,10.3,0.5,2.7,0.4,0.7,0.8,4.5,104.2,105.2
