TID,TEAM,CONF,DIVISION,GP,PTSGM,aPTSGM,PTSDIFF,PACE,OEFF,DEFF,EDIFF,SOS,rSOS,SAR,CONS,A4F,W,L,WIN,eWIN,pWIN,ACH,STRK
1,Atlanta Hawks,East,Southeast,61,111,118.2,-7.2,103.8,106.7,113.7,-7,0.9,-0.38,-6.1,12.7,0.003,20,41,0.328,0.291,0.263,0.037,L 1
2,Boston Celtics,East,Atlantic,60,112.8,106.8,6,99.3,112.8,106.8,6,-0.79,0.22,5.21,14.6,0.013,37,23,0.617,0.66,0.698,-0.043,L 2
3,Brooklyn Nets,East,Atlantic,62,112,112.3,-0.3,100.2,109.9,110.3,-0.4,-0.28,1.19,-0.68,11.7,0.027,32,30,0.516,0.486,0.49,0.03,W 2
4,Charlotte Hornets,East,Southeast,60,111,111.5,-0.5,99,111.1,111.6,-0.5,-1.01,0.82,-1.51,16.5,-0.042,28,32,0.467,0.488,0.484,-0.021,L 2
5,Chicago Bulls,East,Central,61,103.7,111.7,-8,98.9,104.1,112.2,-8.1,1.41,-1.12,-6.69,15.2,-0.041,16,45,0.262,0.297,0.237,-0.035,L 1
6,Cleveland Cavaliers,East,Central,61,103.4,113.3,-9.9,96.4,106.7,116.9,-10.2,0.42,0.72,-9.78,13.4,-0.074,14,47,0.23,0.223,0.174,0.007,L 1
7,Dallas Mavericks,West,Southwest,60,108.7,109.3,-0.6,99.4,109,109.6,-0.6,0.64,-0.51,0.04,14,0.021,26,34,0.433,0.483,0.48,-0.05,L 5
8,Denver Nuggets,West,Northwest,59,112.2,106.8,5.4,97.7,114.4,108.9,5.5,-0.08,1.31,5.42,14.5,0.028,41,18,0.695,0.647,0.678,0.048,W 4
9,Detroit Pistons,East,Central,59,107.2,108.1,-0.9,98.3,107.9,108.8,-0.9,-0.32,-0.58,-1.22,12.1,-0.017,29,30,0.492,0.47,0.47,0.022,W 3
10,Golden State Warriors,West,Pacific,60,118.8,112,6.8,101,116.8,110.1,6.7,-0.56,-0.24,6.14,15.4,0.086,43,17,0.717,0.668,0.724,0.049,W 1
